recordID,acceptedNameUsage,verbatimIdentification,species,kingdom,phylum,class,order,family,taxonRank,locationID,higherGeographyID,locality,locationRemarks,lat,long,countryCode_alpha3,occurrenceStatus,occurrenceRemarks,establishmentMeans,occurrenceReference,eradicationStatus,eradicationYear,eradicationReference,estimatedIntroductionDate,firstObservationRecord,firstPublishedRecord,firstRecordReference,habitat,isInvasive,invasiveReference
11,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Auckland Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72],,,,,1942,,[72],terrestrial,Inconclusive,
12,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Disappointment Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72],,,,,1944,,[72],terrestrial,Inconclusive,
13,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Enderby Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72][118],,,,,1942,,[72],terrestrial,Non-invasive,[118]
14,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Ewing Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72],,,,,1989,,[72],terrestrial,Inconclusive,
15,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Figure of Eight Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72],,,,,1945,,[72],terrestrial,Inconclusive,
16,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Ocean Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72],,,,,1943,,[72],terrestrial,Inconclusive,
17,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Rose Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72],,,,,1942,,[72],terrestrial,Inconclusive,
18,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,,introduced,[111][116][117],,,,,1907,1909,[259],terrestrial,Inconclusive,
19,"Acanthis flammea (Linnaeus, 1758)",Acanthis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,MACQUA,sub-Antarctic,Macquarie,Macquarie Island,-54.62342985,158.8592739,AUS,uncertain,,introduced,[1][204][295],,,,,1912,1937,[1][204][295],terrestrial,Inconclusive,
20,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,SNARES,sub-Antarctic,Snares,The Snares/Tini Heke,-48.03671683,166.5629409,NZL,present,breeding,introduced,[53][175],,,,,,,,terrestrial,Inconclusive,
21,"Acaropsis Moquin-Tandon, 1863",Acaropsis sp.,Acaropsis sp.,Animalia,Arthropoda,Arachnida,Trombidiformes,Cheyletidae,genus,ACBR02,Antarctica,South Orkney Islands,South Orkney Islands,-60.6413192,-45.24235979,ATA,present,one or two specimens,introduced,[174][348],,,,,1961-1964,1973,[348],terrestrial,Non-invasive,[348]
22,"Acarus siro Linnaeus, 1758",Aleurobius farinae,Acarus siro,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,species,MACQUA,sub-Antarctic,Macquarie,Macquarie Island,-54.62342985,158.8592739,AUS,present,cosmopolitan,introduced,[1][18][174],,,,,,,,host,Inconclusive,
23,Acer pseudoplatanus L.,Acer pseudoplatanus,Acer pseudoplatanus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,East Falkland,-51.78640574,-59.10198666,FLK,present,very rare,introduced,[81][92][275],,,,,1977,1982,[92],terrestrial,Non-invasive,[81][275]
24,Acer pseudoplatanus L.,Acer pseudoplatanus,Acer pseudoplatanus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,West Falkland,-51.78640574,-59.10198666,FLK,absent,,introduced,[92],,,,,1977,1982,[92],terrestrial,Inconclusive,
25,Acer pseudoplatanus L.,Acer pseudoplatanus,Acer pseudoplatanus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,,introduced,[340],,,,,,,,terrestrial,Inconclusive,
26,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,AUCKLA,sub-Antarctic,Auckland,Auckland Islands,-50.69186457,166.1163441,NZL,present,restricted distribution,introduced,[65][125][222],,,,,1941-1945,1951,[125],terrestrial,Non-invasive,[125]
27,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,restricted alien,introduced,[65][134][222][340],,,,,,,,terrestrial,Non-invasive,[134]
28,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,CROZET,sub-Antarctic,Crozet,ële de la Possession,-46.21174594,51.24779081,ATF,present,persistent alien,introduced,[1][65][130][338],,,,,1978,,[130],terrestrial,Inconclusive,
29,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,East Falkland,-51.78640574,-59.10198666,FLK,present,widespread and common,introduced,[65][81][83][211][275],,,,,1904,1907,[83][86][91],terrestrial,Invasive,[81]
30,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,West Falkland,-51.78640574,-59.10198666,FLK,present,widespread and common,introduced,[65][81][83][211][275],,,,,1911,,[83],terrestrial,Invasive,[81]
31,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,KERGUE,sub-Antarctic,Kerguelen,ëles Kerguelen,-49.32249108,69.47727492,ATF,present,,introduced,[1][65][130],,,,,1996,,[130],terrestrial,Inconclusive,
32,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,,introduced,[130][340],,,,,1963,,[130],terrestrial,Inconclusive,
33,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,SGEORG,sub-Antarctic,South Georgia and the South Sandwich Islands,South Georgia,-54.31514083,-36.70984596,SGS,present,restricted naturalised,introduced,[1][65][213][214][222][333][340],,,,,1957,1962,[198][199],terrestrial,Non-invasive,[354]
34,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,ACBR02,Antarctica,South Orkney Islands,Signy Island,-60.6413192,-45.24235979,ATA,absent,eradicated,introduced,[289][361],eradicated,1973,[289],1968,1968,1979,[289],terrestrial,Non-invasive,[289]
35,Achillea ptarmica L.,Achillea ptarmica,Achillea ptarmica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,CROZET,sub-Antarctic,Crozet,ële de la Possession,-46.21174594,51.24779081,ATF,present,"persistent alien, ephemeral species",introduced,[1][65][130][338],,,,,1982,,[130],terrestrial,Non-invasive,[338]
36,Achillea ptarmica L.,Achillea ptarmica,Achillea ptarmica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,SGEORG,sub-Antarctic,South Georgia and the South Sandwich Islands,South Georgia,-54.31514083,-36.70984596,SGS,present,restricted naturalised,introduced,[1][65][213][214][222][333],,,,,1961,1973,[98],terrestrial,Non-invasive,[354]
37,Acmella oleracea (L.) R.K.Jansen,Spilanthes oleracea,Acmella oleracea,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,in gardens,introduced,[340],,,,,,,,terrestrial,Non-invasive,[340]
38,"Acrotrichis insularis (MŠklin, 1852)",Acrotrichis insularis,Acrotrichis insularis,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,,introduced,[55][194],,,,,1961,1964,[194],terrestrial,Inconclusive,
39,"Acrotrichis josephi (A.Matthews, 1872)",Acrotrichis josephi,Acrotrichis josephi,Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,species,AUCKLA,sub-Antarctic,Auckland,Auckland Islands,-50.69186457,166.1163441,NZL,present,,introduced,[55][255],,,,,,,,terrestrial,Inconclusive,
40,"Acyrthosiphon malvae (Mosley, 1841)",Acyrthosiphon malvae,Acyrthosiphon malvae,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,,introduced,[55][135][171],,,,,1963,1964,[135],host,Inconclusive,
41,Aegilops L.,Aegilops sp.,Aegilops sp.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,genus,SGEORG,sub-Antarctic,South Georgia and the South Sandwich Islands,South Georgia,-54.31514083,-36.70984596,SGS,uncertain,last seen 1961,introduced,[214][346][354],,,,,,,,terrestrial,Non-invasive,[214][354]
42,Agapanthus praecox Willd.,Agapanthus praecox,Agapanthus praecox,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,species,TRISTI,sub-Antarctic,Tristan group,Tristan da Cunha Island,-37.28580305,-12.47670702,SHN,present,,introduced,[212][217],,,,,2007,2009,[217],terrestrial,Non-invasive,[217]
43,Agaricus augustus Fr.,Agaricus augustus,Agaricus augustus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,Falkland Islands,-51.78640574,-59.10198666,FLK,present,,introduced,[211],,,,,,,,host,Inconclusive,
44,Agaricus porphyrizon P.D.Orton,Agaricus porphyrizon,Agaricus porphyrizon,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,Falkland Islands,-51.78640574,-59.10198666,FLK,present,,introduced,[211],,,,,,,,host,Inconclusive,
45,Agave americana L.,Agave americana,Agave americana,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,,introduced,[65][130][340],,,,,1903,,[130],terrestrial,Inconclusive,
46,"Agrius cingulata Fabricius, 1775",Agrius cingulata,Agrius cingulata,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,West Falkland,-51.78640574,-59.10198666,FLK,present,,introduced,[55][344],,,,,,,,terrestrial,Inconclusive,
47,"Agrius cingulata Fabricius, 1775",Agrius cingulata,Agrius cingulata,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,species,TRISTI,sub-Antarctic,Tristan group,Tristan da Cunha Island,-37.28580305,-12.47670702,SHN,present,,introduced,[55][344],,,,,,,,terrestrial,Inconclusive,
48,Agrocybe fimicola (Speg.) Singer,Agrocybe fimicola,Agrocybe fimicola,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,Falkland Islands,-51.78640574,-59.10198666,FLK,present,,introduced,[211],,,,,,,,host,Inconclusive,
49,Agropogon lutosus (Poir.) P.Fourn.,Agropogon littoralis,Agropogon lutosus,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,,introduced,[130][340],,,,,1985,,[130],terrestrial,Inconclusive,
50,Agrostemma githago L.,Agrostemma githago,Agrostemma githago,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,East Falkland,-51.78640574,-59.10198666,FLK,uncertain,probably extinct,introduced,[81][275],,,,,1904,1907,[83][86],terrestrial,Non-invasive,[81][275]
51,Agrostis canina L.,Agrostis canina,Agrostis canina,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,CROZET,sub-Antarctic,Crozet,ële de la Possession,-46.21174594,51.24779081,ATF,present,restricted to Base,introduced,[130][338][340],,,,,1984,,[130],terrestrial,Non-invasive,[340]
52,Agrostis canina L.,Agrostis canina var. falklandica,Agrostis canina,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,subspecies,FALKLA,sub-Antarctic,Falklands/Malvinas,Falkland Islands,-51.78640574,-59.10198666,FLK,present,,introduced,[310],,,,,,,,terrestrial,Invasive,[310]
53,Agrostis canina L.,Agrostis canina,Agrostis canina,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,KERGUE,sub-Antarctic,Kerguelen,ëles Kerguelen,-49.32249108,69.47727492,ATF,present,persistent alien,introduced,[1][65][130][340],,,,,1901,,[130],terrestrial,Inconclusive,
54,Agrostis canina L.,Agrostis canina,Agrostis canina,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,ACBR03,Antarctica,North-west Antarctic Peninsula,"Rothera Research Station, Marguerite Bay",-69,-65,ATA,absent,eradicated,introduced,[310],eradicated,2005,[310],2005,2005,2010,[310],terrestrial,Non-invasive,[310]
55,Agrostis canina L.,Agrostis canina,Agrostis canina,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,SGEORG,sub-Antarctic,South Georgia and the South Sandwich Islands,South Georgia,-54.31514083,-36.70984596,SGS,present,persistent alien,introduced,[1][65][310][333],,,,1969 or before,,,[333],terrestrial,Non-invasive,[310]
56,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,AUCKLA,sub-Antarctic,Auckland,Auckland Islands,-50.69186457,166.1163441,NZL,present,restricted distribution,introduced,[65][125][222],,,,,1945,1965,[125],terrestrial,Non-invasive,[125]
57,Agrostis capillaris L.,Agrostis tenuis,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,widespread,introduced,[65][129][134][222],,,,,,,,terrestrial,Invasive,[134]
58,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,CROZET,sub-Antarctic,Crozet,ële de la Possession,-46.21174594,51.24779081,ATF,present,persistent alien,introduced,[1][65][75][130],,,,,1984,,[75][299],terrestrial,Inconclusive,
59,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,East Falkland,-51.78640574,-59.10198666,FLK,present,widespread and scarce to common,introduced,[65][81][275],,,,,1904,1907,[83],terrestrial,Invasive,[81]
60,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,West Falkland,-51.78640574,-59.10198666,FLK,present,widespread and scarce to common,introduced,[65][81][275],,,,,1965-2002,,[83],terrestrial,Invasive,[81]
61,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,KERGUE,sub-Antarctic,Kerguelen,ëles Kerguelen,-49.32249108,69.47727492,ATF,present,persistent alien,introduced,[1][65][75][130],,,,,1901,,[75],terrestrial,Inconclusive,
62,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,MACQUA,sub-Antarctic,Macquarie,Macquarie Island,-54.62342985,158.8592739,AUS,absent,eradicated,introduced,[298],eradicated,2016,[298],,2014,2016,[298],terrestrial,Non-invasive,[298]
63,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,,introduced,[65][75][130],,,,,1996,,[75],terrestrial,Inconclusive,
64,Agrostis capillaris L.,Agrostis capillaris,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,SGEORG,sub-Antarctic,South Georgia and the South Sandwich Islands,South Georgia,-54.31514083,-36.70984596,SGS,present,widespread naturalised,introduced,[1][65][213][214][354],,,,,1949,1964,[98],terrestrial,Invasive,[354]
65,Agrostis capillaris L.,Agrostis tenuis,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,TRISTI,sub-Antarctic,Tristan group,Gough Island,-37.28580305,-12.47670702,SHN,present,1 site,introduced,[97][131][333][344],,,,,1927,,[97],terrestrial,Non-invasive,[333]
66,Agrostis capillaris L.,Agrostis tenuis,Agrostis capillaris,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,TRISTI,sub-Antarctic,Tristan group,Tristan da Cunha Island,-37.28580305,-12.47670702,SHN,present,invasive,introduced,[65][212][217][344],,,,,1873,1875,[184][217],terrestrial,Invasive,[212]
67,Agrostis castellana Boiss. & Reut.,Agrostis castellana,Agrostis castellana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,,introduced,[65][322],,,,,1961,1991,[322],terrestrial,Inconclusive,
68,Agrostis castellana Boiss. & Reut.,Agrostis castellana,Agrostis castellana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,PEDWAR,sub-Antarctic,Prince Edward Islands,Marion Island,-46.79491038,37.79328163,ZAF,uncertain,,introduced,[1][16][65][223][326],,,,,1975,1995,[16][202],terrestrial,Inconclusive,
69,Agrostis castellana Boiss. & Reut.,Agrostis castellana,Agrostis castellana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,TRISTI,sub-Antarctic,Tristan group,Gough Island,-37.28580305,-12.47670702,SHN,uncertain,extinct? casual,vagrant,[97][131][333][344],,,,,,,,terrestrial,Non-invasive,[131][333]
70,Agrostis castellana Boiss. & Reut.,Agrostis castellana,Agrostis castellana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,TRISTI,sub-Antarctic,Tristan group,Tristan da Cunha Island,-37.28580305,-12.47670702,SHN,present,low impact,introduced,[65][97][212][217][336][344],,,,,1908,,[97][217],terrestrial,Non-invasive,[217]
71,Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,KERGUE,sub-Antarctic,Kerguelen,ëles Kerguelen,-49.32249108,69.47727492,ATF,present,,introduced,[1][65][130],,,,,1996,,[130],terrestrial,Inconclusive,
72,Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,PEDWAR,sub-Antarctic,Prince Edward Islands,Marion Island,-46.79491038,37.79328163,ZAF,present,population self-sustaining,introduced,[16][65][223][276],,,,,1994,1995,[16][202][276],terrestrial,Non-invasive,[16]
73,Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,TRISTI,sub-Antarctic,Tristan group,Inaccessible Island,-37.28580305,-12.47670702,SHN,present,localised,introduced,[65][93][212][271][333][344],,,,,,,,terrestrial,Non-invasive,[212][333]
74,Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,TRISTI,sub-Antarctic,Tristan group,Nightingale Island,-37.28580305,-12.47670702,SHN,present,,introduced,[212][333],,,,,,,,terrestrial,Inconclusive,
75,Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,TRISTI,sub-Antarctic,Tristan group,Tristan da Cunha Island,-37.28580305,-12.47670702,SHN,present,low impact,introduced,[65][93][97][212][217][333][344],,,,,1937,,[97][217],terrestrial,Non-invasive,[217]
76,Agrostis L.,Agrostis sp.,Agrostis sp.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,genus,SGEORG,sub-Antarctic,South Georgia and the South Sandwich Islands,South Georgia,-54.31514083,-36.70984596,SGS,present,naturalised,introduced,[214],,,,,,,,terrestrial,Inconclusive,
77,Agrostis stolonifera L.,Agrostis stolonifera,Agrostis stolonifera,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,AUCKLA,sub-Antarctic,Auckland,Auckland Islands,-50.69186457,166.1163441,NZL,present,restricted distribution,introduced,[65][125],,,,,,1877,[125],terrestrial,Non-invasive,[125]
78,Agrostis stolonifera L.,Agrostis stolonifera,Agrostis stolonifera,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,naturalised,introduced,[65][129][322],,,,,,,,terrestrial,Inconclusive,
79,Agrostis stolonifera L.,Agrostis stolonifera,Agrostis stolonifera,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,CROZET,sub-Antarctic,Crozet,ële de la Possession,-46.21174594,51.24779081,ATF,present,persistent alien,introduced,[1][65][75][130][262][338],,,,,1968,,[75][130][299],terrestrial,Invasive,[262]
80,Agrostis stolonifera L.,Agrostis stolonifera,Agrostis stolonifera,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,East Falkland,-51.78640574,-59.10198666,FLK,present,widespread and common,introduced,[65][81][275],,,,,1820,1825,[83],terrestrial,Invasive,[81]
81,Agrostis stolonifera L.,Agrostis stolonifera,Agrostis stolonifera,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,West Falkland,-51.78640574,-59.10198666,FLK,present,widespread and common,introduced,[65][81],,,,,1909-1911,1911,[83],terrestrial,Invasive,[81]
82,Agrostis stolonifera L.,Agrostis stolonifera,Agrostis stolonifera,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,species,KERGUE,sub-Antarctic,Kerguelen,ële Guillou,-49.32249108,69.47727492,ATF,present,,introduced,[284],,,,,,,,terrestrial,Inconclusive,
